type_of_house;street;house_number
detached;Гимеинская улица;40/1
detached;Гимеинская улица;32/5
house;Гимеинская улица;32/9
detached;Гимеинская улица;36/4
detached;Гимеинская улица;42
detached;Гимеинская улица;30.апр
detached;Гимеинская улица;30.мар
residential;Гимеинская улица;8
detached;Гимеинская улица;30/2А
detached;Гимеинская улица;44
detached;Гимеинская улица;02.янв
detached;Гимеинская улица;36/12
detached;Гимеинская улица;32/8
dormitory;Гимеинская улица;21
residential;Гимеинская улица;29
detached;Гимеинская улица;31.янв
detached;Гимеинская улица;36
residential;Гимеинская улица;6
detached;Гимеинская улица;36/17
detached;Гимеинская улица;38
residential;Гимеинская улица;14
detached;Гимеинская улица;26
detached;Гимеинская улица;44/1Д
detached;Гимеинская улица;30/2
residential;Гимеинская улица;22
residential;Гимеинская улица;16
detached;Гимеинская улица;33
residential;Гимеинская улица;12
detached;Гимеинская улица;46/1
residential;Гимеинская улица;20
residential;Гимеинская улица;10
detached;Гимеинская улица;34/1
detached;Гимеинская улица;24.янв
detached;Гимеинская улица;36/1
detached;Гимеинская улица;24.мар
detached;Гимеинская улица;36/10
detached;Гимеинская улица;36/2
detached;Гимеинская улица;46
detached;Гимеинская улица;38/2
detached;Гимеинская улица;32/6
detached;Гимеинская улица;38/2А
detached;Гимеинская улица;32/1
detached;Гимеинская улица;40/1
detached;Гимеинская улица;38/1
residential;Гимеинская улица;13
detached;Гимеинская улица;32/4
residential;Гимеинская улица;11
residential;Гимеинская улица;19
residential;Гимеинская улица;15
detached;Гимеинская улица;48/1
detached;Гимеинская улица;38А
detached;Гимеинская улица;32/2
detached;Гимеинская улица;34
detached;Гимеинская улица;25.янв
residential;Гимеинская улица;30
residential;Гимеинская улица;21Б
detached;Гимеинская улица;32/7
yes;Гимеинская улица;09.янв
yes;Гимеинская улица;7
residential;Гимеинская улица;2
house;Ильменская улица;15
house;Ильменская улица;1
house;Ильменская улица;13
residential;Ильменская улица;55/4
apartments;Ильменская улица;63
house;Ильменская улица;92/1
house;Ильменская улица;50
house;Ильменская улица;18
yes;Ильменская улица;36
house;Ильменская улица;24
garage;Ильменская улица;92/5 бокс 4
house;Ильменская улица;26
shop;Ильменская улица;86 Уйгу
garage;Ильменская улица;92/5
yes;Ильменская улица;20/1а
yes;Ильменская улица;27Б
residential;Ильменская улица;63/1
house;Ильменская улица;37
yes;Ильменская улица;23
house;Ильменская улица;56
house;Ильменская улица;52
garage;Ильменская улица;92/5
garage;Ильменская улица;92/5 бокс 11
garage;Ильменская улица;92/5
house;Ильменская улица;92
house;Ильменская улица;28
house;Ильменская улица;6
house;Ильменская улица;90
house;Ильменская улица;60
house;Ильменская улица;54
yes;Ильменская улица;42
house;Ильменская улица;92/4
yes;Ильменская улица;44
house;Ильменская улица;92/6
yes;Ильменская улица;58
house;Ильменская улица;4
house;Ильменская улица;80
house;Ильменская улица;78
house;Ильменская улица;76
house;Ильменская улица;74
house;Ильменская улица;16
yes;Ильменская улица;40
house;Ильменская улица;88
house;Ильменская улица;22
yes;Ильменская улица;38
house;Ильменская улица;14
house;Ильменская улица;20
yes;Ильменская улица;34
house;Ильменская улица;86
house;Ильменская улица;72/1
house;Ильменская улица;12
house;Ильменская улица;82
