type_of_house;street;house_number
apartments;улица Борисовка 1-й квартал;60
apartments;улица Борисовка 1-й квартал;16
apartments;улица Борисовка 1-й квартал;10
yes;улица Борисовка 1-й квартал;4
apartments;улица Борисовка 1-й квартал;31
apartments;улица Борисовка 1-й квартал;35
apartments;улица Борисовка 1-й квартал;17
apartments;улица Борисовка 1-й квартал;55
apartments;улица Борисовка 1-й квартал;11
apartments;улица Борисовка 1-й квартал;32
apartments;улица Борисовка 1-й квартал;50
apartments;улица Борисовка 1-й квартал;8
apartments;улица Борисовка 1-й квартал;37
apartments;улица Борисовка 1-й квартал;07.янв
apartments;улица Борисовка 1-й квартал;7
apartments;улица Борисовка 1-й квартал;52
yes;улица Борисовка 3-й квартал;7К
residential;улица Борисовка 3-й квартал;2Д
residential;улица Борисовка 3-й квартал;3Д
residential;улица Борисовка 3-й квартал;4Б
residential;улица Борисовка 3-й квартал;2Б
detached;улица Борисовка 3-й квартал;5Б
residential;улица Борисовка 3-й квартал;3Б
yes;улица Борисовка 3-й квартал;9К
yes;улица Борисовка 3-й квартал;5К
yes;улица Борисовка 3-й квартал;8А
yes;улица Борисовка 3-й квартал;6А
residential;улица Борисовка 3-й квартал;1Д
residential;улица Борисовка 3-й квартал;2В
yes;улица Борисовка 3-й квартал;1А
yes;улица Борисовка 3-й квартал;2А
residential;улица Борисовка 3-й квартал;4В
yes;улица Борисовка 3-й квартал;1Г
residential;улица Борисовка 3-й квартал;1Б
yes;улица Борисовка 3-й квартал;5А
yes;улица Борисовка 3-й квартал;3А
residential;улица Борисовка 3-й квартал;1В
residential;улица Борисовка 3-й квартал;5В
yes;улица Борисовка 3-й квартал;7А
yes;улица Борисовка 3-й квартал;4А
yes;улица Борисовка 3-й квартал;3В
yes;улица Борисовка 3-й квартал;2Г
commercial;улица Вилюйское шоссе;13.янв
house;улица Винокурова;10
house;улица Винокурова;2
house;улица Винокурова;14
house;улица Винокурова;8
house;улица Винокурова;11
yes;улица Винокурова;33/2
house;улица Винокурова;53/1
yes;улица Винокурова;38
house;улица Винокурова;49
house;улица Винокурова;41/2
residential;улица Винокурова;37
yes;улица Винокурова;36
house;улица Винокурова;44
house;улица Винокурова;77
house;улица Винокурова;79/3А
house;улица Винокурова;78
house;улица Винокурова;83/2
residential;улица Винокурова;23
yes;улица Винокурова;97/1
house;улица Винокурова;83/1а
house;улица Винокурова;79
house;улица Винокурова;75/7
yes;улица Винокурова;55/1А
yes;улица Винокурова;32
house;улица Винокурова;42/1
yes;улица Винокурова;35/4
yes;улица Винокурова;40
house;улица Винокурова;55
house;улица Винокурова;75/1
house;улица Винокурова;89/3
house;улица Винокурова;82/1
house;улица Винокурова;95/3
house;улица Винокурова;81
shop;улица Винокурова;89А
yes;улица Винокурова;97
house;улица Винокурова;83/1
house;улица Винокурова;83
house;улица Винокурова;79/4
house;улица Винокурова;79/7
house;улица Винокурова;82
house;улица Винокурова;89/2
house;улица Винокурова;75/5
house;улица Винокурова;79/3
house;улица Винокурова;89
house;улица Винокурова;85
house;улица Винокурова;79А
house;улица Винокурова;81А
house;улица Винокурова;79/1
house;улица Винокурова;75
house;улица Винокурова;76
house;улица Винокурова;91
house;улица Винокурова;61
house;улица Винокурова;57
house;улица Винокурова;69/1
house;улица Винокурова;67
house;улица Винокурова;69
house;улица Винокурова;63
house;улица Винокурова;59
house;улица Винокурова;71
house;улица Винокурова;65
house;улица Винокурова;63/1
house;улица Винокурова;55/1
yes;улица Винокурова;42
house;улица Винокурова;41
house;улица Винокурова;39/3
house;улица Винокурова;43
yes;улица Винокурова;26
yes;улица Винокурова;26.фев
house;улица Винокурова;39/1
house;улица Винокурова;41/1
yes;улица Винокурова;37/2
house;улица Винокурова;41/5
house;улица Винокурова;47
yes;улица Винокурова;27.фев
yes;улица Винокурова;30.янв
yes;улица Винокурова;29
yes;улица Винокурова;28.фев
yes;улица Винокурова;30
yes;улица Винокурова;35/3
shop;улица Винокурова;40
house;улица Винокурова;45
house;улица Винокурова;22
house;улица Винокурова;39/5
yes;улица Винокурова;33
house;улица Винокурова;39/4
house;улица Винокурова;51
yes;улица Винокурова;34
yes;улица Винокурова;32/1
house;улица Винокурова;53
yes;улица Винокурова;37/1
yes;улица Винокурова;31
yes;улица Винокурова;28
yes;улица Винокурова;24.янв
detached;улица Винокурова;27
yes;улица Винокурова;24
residential;улица Винокурова;25
house;улица Винокурова;15
apartments;улица Винокурова;21
house;улица Винокурова;13
house;улица Винокурова;1
house;улица Винокурова;7
house;улица Винокурова;5
house;улица Винокурова;9
house;улица Винокурова;3
house;улица Винокурова;17
house;улица Винокурова;6
house;улица Винокурова;20.янв
house;улица Винокурова;20
house;улица Винокурова;12
house;улица Винокурова;20Б
house;улица Винокурова;16
house;улица Винокурова;4
house;улица Винокурова;20А
detached;улица Гоголя;60
yes;улица Гоголя;62А
yes;улица Гоголя;06.янв
apartments;улица Гоголя;52
detached;улица Гоголя;62
yes;улица Гоголя;6
yes;улица Гоголя;1
detached;улица Гоголя;56
detached;улица Гоголя;58
yes;улица Каландаришвили;45
yes;улица Каландаришвили;31 к1
house;улица Каландаришвили;35
yes;улица Каландаришвили;31
yes;улица Каландаришвили;31/2
yes;улица Каландаришвили;35/1
yes;улица Каландаришвили;29
apartments;улица Каландаришвили;43
house;улица Каландаришвили;33
house;улица Каландаришвили;39
yes;улица Каландаришвили;45Б
yes;улица Каландаришвили;45А
house;улица Каландаришвили;37
yes;улица Каландаришвили;29
house;улица Каландаришвили;41
yes;улица Кеши Алексеева;9В
yes;улица Кеши Алексеева;03.янв
apartments;улица Кеши Алексеева;06.фев
residential;улица Кеши Алексеева;13.фев
residential;улица Кеши Алексеева;13.янв
apartments;улица Кеши Алексеева;5
apartments;улица Кеши Алексеева;12
residential;улица Кеши Алексеева;13.мар
apartments;улица Кеши Алексеева;2
apartments;улица Кеши Алексеева;1
apartments;улица Кеши Алексеева;08.янв
yes;улица Кеши Алексеева;05.янв
apartments;улица Кеши Алексеева;10
apartments;улица Кеши Алексеева;6
residential;улица Кеши Алексеева;9
retail;улица Кеши Алексеева;7
residential;улица Кеши Алексеева;13.апр
apartments;улица Кеши Алексеева;4
residential;улица Кеши Алексеева;11
apartments;улица Кеши Алексеева;10.янв
apartments;улица Кеши Алексеева;3
apartments;улица Кеши Алексеева;8
apartments;улица Кеши Алексеева;14
residential;улица Кеши Алексеева;13
yes;улица Кеши Алексеева;6
apartments;улица Кочнева;40
house;улица Кочнева;53
house;улица Кочнева;79
yes;улица Кочнева;30
house;улица Кочнева;59
yes;улица Кочнева;37
house;улица Кочнева;71
house;улица Кочнева;64
house;улица Кочнева;22
house;улица Кочнева;70
yes;улица Кочнева;1
house;улица Кочнева;52
house;улица Кочнева;56
house;улица Кочнева;19
house;улица Кочнева;73
house;улица Кочнева;74
house;улица Кочнева;16
yes;улица Кочнева;9
yes;улица Кочнева;3
yes;улица Кочнева;39
house;улица Кочнева;50
house;улица Кочнева;27
house;улица Кочнева;72
house;улица Кочнева;44
house;улица Кочнева;42
house;улица Кочнева;90
house;улица Кочнева;25
house;улица Кочнева;81/1
house;улица Кочнева;94
house;улица Кочнева;82
house;улица Кочнева;62
yes;улица Кочнева;17
house;улица Кочнева;58
house;улица Кочнева;75
yes;улица Кочнева;8
yes;улица Кочнева;26
yes;улица Кочнева;6
house;улица Кочнева;60
yes;улица Кочнева;13
house;улица Кочнева;18
house;улица Кочнева;65
house;улица Кочнева;21
apartments;улица Кочнева;38
apartments;улица Кочнева;43
house;улица Кочнева;80
house;улица Кочнева;67
yes;улица Кочнева;11
house;улица Кочнева;78
yes;улица Кочнева;4
yes;улица Кочнева;15
apartments;улица Кочнева;47
house;улица Кочнева;69
yes;улица Кочнева;35
house;улица Кочнева;63
house;улица Кочнева;54
yes;улица Кочнева;41
house;улица Кочнева;68
house;улица Кочнева;14
house;улица Кочнева;76
house;улица Кочнева;31
yes;улица Кочнева;2
house;улица Кочнева;49
house;улица Кочнева;23
house;улица Кочнева;24
yes;улица Кочнева;7
yes;улица Кочнева;32
house;улица Кочнева;66
house;улица Кочнева;51
yes;улица Кочнева;10
yes;улица Кочнева;34
yes;улица Кочнева;12
house;улица Кочнева;81
yes;улица Кочнева;33
house;улица Кочнева;84
yes;улица Кочнева;36
house;улица Кочнева;86
house;улица Кочнева;29
house;улица Кочнева;77
house;улица Кочнева;48
house;улица Кочнева;57
house;улица Кочнева;55
house;улица Кочнева;46
house;улица Кочнева;20
yes;улица Кочнева;5
yes;улица Кочнева;28
yes;улица Кулачикова-Элляя;11
house;улица Кулачикова-Элляя;24
house;улица Кулачикова-Элляя;16.янв
house;улица Кулачикова-Элляя;17.фев
yes;улица Кулачикова-Элляя;34
house;улица Кулачикова-Элляя;18
house;улица Кулачикова-Элляя;19
yes;улица Кулачикова-Элляя;15
yes;улица Кулачикова-Элляя;27
house;улица Кулачикова-Элляя;12
yes;улица Кулачикова-Элляя;24
house;улица Кулачикова-Элляя;17
house;улица Кулачикова-Элляя;10
house;улица Кулачикова-Элляя;18.янв
house;улица Кулачикова-Элляя;26
yes;улица Кулачикова-Элляя;13
yes;улица Кулачикова-Элляя;21.янв
house;улица Кулачикова-Элляя;21
house;улица Кулачикова-Элляя;16
yes;улица Кулачикова-Элляя;5
yes;улица Кулачикова-Элляя;28
house;улица Кулачикова-Элляя;14
house;улица Кулачикова-Элляя;7
house;улица Кулачикова-Элляя;22
yes;улица Кулачикова-Элляя;29
yes;улица Кулачикова-Элляя;13.янв
house;улица Кулачикова-Элляя;9
yes;улица Лермонтова;162/2
yes;улица Лермонтова;92/1
apartments;улица Лермонтова;98
apartments;улица Лермонтова;94
apartments;улица Лермонтова;94/3
yes;улица Лермонтова;138/3а
apartments;улица Лермонтова;152А
apartments;улица Лермонтова;100/2
yes;улица Лермонтова;90/2 Д
apartments;улица Лермонтова;121А
yes;улица Лермонтова;200
yes;улица Лермонтова;124
residential;улица Лермонтова;123
residential;улица Лермонтова;125
residential;улица Лермонтова;
apartments;улица Лермонтова;102
yes;улица Лермонтова;92
apartments;улица Лермонтова;152
apartments;улица Лермонтова;96/1
yes;улица Лермонтова;90 к2В
yes;улица Лермонтова;90А
apartments;улица Лермонтова;94/2
apartments;улица Лермонтова;98/1
apartments;улица Лермонтова;96
apartments;улица Лермонтова;100
apartments;улица Лермонтова;90
yes;улица Лермонтова;90/2А
yes;улица Лермонтова;200А
residential;улица Лермонтова;122
apartments;улица Лермонтова;156/2
apartments;улица Лермонтова;156/3
apartments;улица Лермонтова;150/1
apartments;улица Лермонтова;162
apartments;улица Лермонтова;162/1
apartments;улица Лермонтова;170
apartments;улица Лермонтова;138/4
apartments;улица Лермонтова;144
apartments;улица Лермонтова;150
yes;улица Лермонтова;140
apartments;улица Лермонтова;168
yes;улица Лермонтова;134
apartments;улица Лермонтова;154
apartments;улица Лермонтова;146
yes;улица Лермонтова;138
apartments;улица Лермонтова;166/1
apartments;улица Лермонтова;142
apartments;улица Лермонтова;168/1
apartments;улица Лермонтова;154/2
apartments;улица Лермонтова;90/3
apartments;улица Лермонтова;178
apartments;улица Лермонтова;168/2
apartments;улица Лермонтова;158/1
apartments;улица Лермонтова;174
yes;улица Лермонтова;138/1
apartments;улица Лермонтова;90/2
apartments;улица Лермонтова;92/2
apartments;улица Лермонтова;154/1
yes;улица Лермонтова;94Б
yes;улица Лермонтова;136
yes;улица Лермонтова;178/1
apartments;улица Лермонтова;176
apartments;улица Лермонтова;156
apartments;улица Лермонтова;160
apartments;улица Лермонтова;94/1
apartments;улица Лермонтова;148
yes;улица Лермонтова;126
yes;улица Лермонтова;136/1
yes;улица Лермонтова;140/1
yes;улица Лермонтова;140/3
apartments;улица Лермонтова;170/1
apartments;улица Лермонтова;138/5
apartments;улица Лермонтова;172
apartments;улица Лермонтова;138/2
apartments;улица Лермонтова;166/2
apartments;улица Лермонтова;138/3
apartments;улица Лермонтова;172/1
yes;улица Лермонтова;134/1
apartments;улица Лермонтова;90/1
yes;улица Лермонтова;140/2
apartments;улица Лермонтова;90/4
apartments;улица Лермонтова;156/1
apartments;улица Лермонтова;152/1
apartments;улица Лермонтова;158
house;улица Лонгинова;17
house;улица Лонгинова;49/1
detached;улица Лонгинова;35/17
detached;улица Лонгинова;35/16
yes;улица Лонгинова;71
detached;улица Лонгинова;35/19
yes;улица Лонгинова;40/5
detached;улица Лонгинова;35/22
yes;улица Лонгинова;70/1
residential;улица Лонгинова;42/6
detached;улица Лонгинова;35/9
yes;улица Лонгинова;76/1
yes;улица Лонгинова;70/2
yes;улица Лонгинова;36
residential;улица Лонгинова;46
yes;улица Лонгинова;80
detached;улица Лонгинова;86
residential;улица Лонгинова;42/2
yes;улица Лонгинова;70/1а
yes;улица Лонгинова;25 к1
house;улица Лонгинова;19
apartments;улица Лонгинова;32
yes;улица Лонгинова;36/1
yes;улица Лонгинова;8
yes;улица Лонгинова;5
yes;улица Лонгинова;3
yes;улица Лонгинова;03.фев
detached;улица Лонгинова;35/18
detached;улица Лонгинова;35/8
yes;улица Лонгинова;85
house;улица Лонгинова;88
house;улица Лонгинова;16
house;улица Лонгинова;22Г
house;улица Лонгинова;24.фев
detached;улица Лонгинова;42/3Б
yes;улица Лонгинова;61
yes;улица Лонгинова;27А
yes;улица Лонгинова;88А
yes;улица Лонгинова;33/1А
yes;улица Лонгинова;90/1
yes;улица Лонгинова;4
yes;улица Лонгинова;1
house;улица Лонгинова;10
house;улица Лонгинова;12
yes;улица Лонгинова;9
yes;улица Лонгинова;6
yes;улица Лонгинова;7
yes;улица Лонгинова;24.ноя
yes;улица Лонгинова;20
yes;улица Лонгинова;18
detached;улица Лонгинова;42Б
detached;улица Лонгинова;32/7
detached;улица Лонгинова;52/3
yes;улица Лонгинова;22А
detached;улица Лонгинова;52/2
detached;улица Лонгинова;50/1
detached;улица Лонгинова;70
yes;улица Лонгинова;52/1
yes;улица Лонгинова;32/2
yes;улица Лонгинова;40/4
yes;улица Лонгинова;32/1
yes;улица Лонгинова;40/5
residential;улица Лонгинова;42/4
house;улица Лонгинова;40/1А
residential;улица Лонгинова;42/1
residential;улица Лонгинова;32/3
yes;улица Лонгинова;25 к2
yes;улица Лонгинова;68
yes;улица Лонгинова;29А
yes;улица Лонгинова;74
house;улица Лонгинова;62
house;улица Лонгинова;30
residential;улица Лонгинова;42/3
yes;улица Лонгинова;84
yes;улица Лонгинова;72/2
house;улица Лонгинова;48/1
apartments;улица Лонгинова;34
yes;улица Лонгинова;27В
yes;улица Лонгинова;72
yes;улица Лонгинова;44/3А
detached;улица Лонгинова;32/9
residential;улица Лонгинова;28
apartments;улица Лонгинова;32/4
yes;улица Лонгинова;36/2
yes;улица Лонгинова;72/1
detached;улица Лонгинова;32/6
detached;улица Лонгинова;35/11
house;улица Лонгинова;43
yes;улица Лонгинова;67
house;улица Лонгинова;51/2
yes;улица Лонгинова;65
detached;улица Лонгинова;34/2
yes;улица Лонгинова;66/1
detached;улица Лонгинова;35/1
house;улица Лонгинова;43/1
residential;улица Лонгинова;42/5
yes;улица Лонгинова;79
house;улица Лонгинова;53/1
detached;улица Лонгинова;69/2
house;улица Лонгинова;47/1
residential;улица Лонгинова;48
house;улица Лонгинова;45/1
detached;улица Лонгинова;75
detached;улица Лонгинова;35/6
detached;улица Лонгинова;35/5
detached;улица Лонгинова;59/2
detached;улица Лонгинова;69/3
house;улица Лонгинова;35/2
detached;улица Лонгинова;35/10
house;улица Лонгинова;50
house;улица Лонгинова;35/6А
detached;улица Лонгинова;35/7
detached;улица Лонгинова;73
house;улица Лонгинова;35/3А
detached;улица Лонгинова;69/1
house;улица Лонгинова;52
detached;улица Лонгинова;59/1
house;улица Лонгинова;45
house;улица Лонгинова;41А
yes;улица Лонгинова;59
detached;улица Лонгинова;35/12
house;улица Лонгинова;47
house;улица Лонгинова;41
yes;улица Лонгинова;82
yes;улица Лонгинова;62
detached;улица Лонгинова;35/3
house;улица Лонгинова;55
yes;улица Лонгинова;63
detached;улица Лонгинова;61/1
house;улица Лонгинова;46/1
house;улица Лонгинова;55/1
house;улица Лонгинова;53
house;улица Лонгинова;46/2
house;улица Лонгинова;37
house;улица Лонгинова;51/1
house;улица Лонгинова;49
house;улица Лонгинова;60
house;улица Лонгинова;54
house;улица Лонгинова;51
yes;улица Лонгинова;69
house;улица Лонгинова;58
house;улица Лонгинова;44
house;улица Лонгинова;37/1
yes;улица Лонгинова;83
house;улица Лонгинова;41/2
house;улица Лонгинова;56
detached;улица Лонгинова;35/4
house;улица Лонгинова;43/2
detached;улица Лонгинова;67/2
detached;улица Лонгинова;77/1
house;улица Лонгинова;11
house;улица Лонгинова;15
residential;улица Лонгинова;40/1
yes;улица Лонгинова;23
yes;улица Лонгинова;25.янв
yes;улица Лонгинова;40/2
yes;улица Лонгинова;29.янв
yes;улица Лонгинова;27.янв
apartments;улица Лонгинова;29
yes;улица Лонгинова;27
yes;улица Лонгинова;21
yes;улица Лонгинова;29/2
yes;улица Лонгинова;31/2
yes;улица Лонгинова;29.мар
yes;улица Лонгинова;25
apartments;улица Лонгинова;38
yes;улица Лонгинова;31.мар
apartments;улица Лонгинова;38/1
yes;улица Лонгинова;23.янв
apartments;улица Лонгинова;31
yes;улица Лонгинова;25.мар
apartments;улица Лонгинова;40
yes;улица Лонгинова;25.фев
yes;улица Лонгинова;31.янв
yes;улица Макаренко;4
yes;улица Макаренко;2
house;улица Макаренко;5
house;улица Макаренко;7
yes;улица Макаренко;8
yes;улица Макаренко;6
house;улица Макаренко;1
house;улица Макаренко;3
yes;улица Макаренко;10
commercial;улица Маяковского;84
house;улица Маяковского;88
yes;улица Маяковского;76
yes;улица Маяковского;70
detached;улица Маяковского;49
detached;улица Маяковского;75
detached;улица Маяковского;82
house;улица Маяковского;42
detached;улица Маяковского;69
detached;улица Маяковского;67
house;улица Маяковского;24
apartments;улица Маяковского;110/1
house;улица Маяковского;48
apartments;улица Маяковского;110/2
apartments;улица Маяковского;114
apartments;улица Маяковского;112
house;улица Маяковского;66
house;улица Маяковского;74
house;улица Маяковского;20
house;улица Маяковского;22
house;улица Маяковского;44
house;улица Маяковского;68
yes;улица Маяковского;84
yes;улица Маяковского;50
detached;улица Маяковского;47
yes;улица Маяковского;52
house;улица Маяковского;46
house;улица Маяковского;54
house;улица Маяковского;56
house;улица Маяковского;58
detached;улица Маяковского;73
house;улица Маяковского;72
detached;улица Маяковского;71
detached;улица Маяковского;78
detached;улица Маяковского;78/1
apartments;улица Маяковского;102/1
house;улица Маяковского;92
house;улица Маяковского;86
house;улица Маяковского;90
apartments;улица Маяковского;87
residential;улица Маяковского;89
apartments;улица Маяковского;104/1
residential;улица Маяковского;75
yes;улица Маяковского;79/1
yes;улица Маяковского;77/1
yes;улица Маяковского;108/1
apartments;улица Маяковского;87/1
apartments;улица Маяковского;96
apartments;улица Маяковского;87/2
apartments;улица Маяковского;85/1
apartments;улица Маяковского;108
apartments;улица Маяковского;104
residential;улица Маяковского;89/1
yes;улица Маяковского;81
yes;улица Маяковского;77/2
apartments;улица Маяковского;85
yes;улица Маяковского;108В
yes;улица Маяковского;77
apartments;улица Маяковского;98
yes;улица Маяковского;79
apartments;улица Маяковского;102
apartments;улица Петровского;25.янв
retail;улица Петровского;27
apartments;улица Петровского;29.апр
apartments;улица Петровского;25.фев
apartments;улица Петровского;29/2
apartments;улица Петровского;27.янв
apartments;улица Петровского;27.фев
apartments;улица Петровского;29.янв
residential;улица Притузова;4
yes;улица Притузова;10.янв
apartments;улица Притузова;42
yes;улица Притузова;9
house;улица Притузова;31
house;улица Притузова;38
house;улица Притузова;45
house;улица Притузова;36
house;улица Притузова;46/1
yes;улица Притузова;17
yes;улица Притузова;15
house;улица Притузова;35
yes;улица Притузова;20
yes;улица Притузова;18
house;улица Притузова;23
residential;улица Притузова;6
yes;улица Притузова;14
house;улица Притузова;51
house;улица Притузова;32
yes;улица Притузова;06.янв
house;улица Притузова;40
yes;улица Притузова;11
shop;улица Притузова;23В
yes;улица Притузова;08.янв
house;улица Притузова;41
house;улица Притузова;39
yes;улица Притузова;1
house;улица Притузова;25
residential;улица Притузова;8
yes;улица Притузова;7
apartments;улица Притузова;44
yes;улица Притузова;28
apartments;улица Притузова;46
house;улица Притузова;33
yes;улица Притузова;25.янв
yes;улица Притузова;19
house;улица Притузова;29
yes;улица Притузова;26
yes;улица Притузова;22
yes;улица Притузова;12.янв
yes;улица Притузова;24
apartments;улица Притузова;37
house;улица Притузова;49
detached;улица Притузова;2
house;улица Притузова;47
house;улица Притузова;40/1
house;улица Притузова;45/1
house;улица Притузова;53
yes;улица Притузова;5
house;улица Притузова;50А
house;улица Притузова;54/1
house;улица Притузова;34
house;улица Притузова;27
yes;улица Притузова;13
yes;улица Притузова;16
yes;улица Притузова;3
house;улица Софронова;88
yes;улица Софронова;53
house;улица Софронова;63
house;улица Софронова;70
detached;улица Софронова;30
detached;улица Софронова;28
yes;улица Софронова;39
house;улица Софронова;33
detached;улица Софронова;38
detached;улица Софронова;32
detached;улица Софронова;14
detached;улица Софронова;10
house;улица Софронова;45
house;улица Софронова;23
yes;улица Софронова;42
detached;улица Софронова;22
yes;улица Софронова;4
house;улица Софронова;41
house;улица Софронова;57
house;улица Софронова;40
house;улица Софронова;78
house;улица Софронова;64
house;улица Софронова;55
house;улица Софронова;66
house;улица Софронова;90
house;улица Софронова;77
house;улица Софронова;43
house;улица Софронова;5
house;улица Софронова;76
house;улица Софронова;39/1
detached;улица Софронова;20
public;улица Софронова;24
yes;улица Софронова;2
house;улица Софронова;73
house;улица Софронова;75
yes;улица Софронова;25
yes;улица Софронова;1
yes;улица Софронова;35
house;улица Софронова;46
house;улица Софронова;19
yes;улица Софронова;11
detached;улица Софронова;34
yes;улица Софронова;37
yes;улица Софронова;17
yes;улица Софронова;13
yes;улица Софронова;15
detached;улица Софронова;16
detached;улица Софронова;12
house;улица Софронова;21
yes;улица Софронова;9
house;улица Софронова;27
yes;улица Софронова;7
house;улица Софронова;29
detached;улица Софронова;36
yes;улица Софронова;8
detached;улица Софронова;18
house;улица Софронова;59
house;улица Софронова;62
house;улица Софронова;61
house;улица Софронова;68
yes;улица Софронова;47
house;улица Софронова;52
yes;улица Софронова;51
house;улица Софронова;72
house;улица Софронова;48
house;улица Софронова;67
house;улица Софронова;65
house;улица Софронова;54
house;улица Софронова;60
yes;улица Софронова;74
yes;улица Софронова;49
apartments;улица Софронова;69
yes;улица Софронова;71
house;улица Софронова;84
house;улица Софронова;80
house;улица Софронова;86
house;улица Софронова;58
house;улица Софронова;56А
house;улица Софронова;44
house;улица Софронова;56
house;улица Софронова;50
yes;улица Софронова;71/1
house;улица Софронова;82
yes;улица Тараса Шевченко;2А
house;улица Чайковского;14.янв
house;улица Чайковского;12
yes;улица Чайковского;87
yes;улица Чайковского;10
house;улица Чайковского;20
house;улица Чайковского;75
yes;улица Чайковского;69
house;улица Чайковского;14
detached;улица Чайковского;34/4
detached;улица Чайковского;36/12
detached;улица Чайковского;34/3
detached;улица Чайковского;34/2
detached;улица Чайковского;36/15А
house;улица Чайковского;45
house;улица Чайковского;15
apartments;улица Чайковского;30.мар
yes;улица Чайковского;2А
house;улица Чайковского;101
yes;улица Чайковского;65
yes;улица Чайковского;32/1к1
detached;улица Чайковского;32/5
yes;улица Чайковского;30/2А
house;улица Чайковского;61
yes;улица Чайковского;30/2
yes;улица Чайковского;34А
detached;улица Чайковского;32/3
yes;улица Чайковского;2/7а
yes;улица Чайковского;38А
house;улица Чайковского;57
yes;улица Чайковского;83
house;улица Чайковского;35
house;улица Чайковского;59
house;улица Чайковского;99
house;улица Чайковского;37
house;улица Чайковского;31
house;улица Чайковского;29
house;улица Чайковского;93
yes;улица Чайковского;2
yes;улица Чайковского;2В
apartments;улица Чайковского;02.июл
apartments;улица Чайковского;30.апр
detached;улица Чайковского;36/7
house;улица Чайковского;39
house;улица Чайковского;21
yes;улица Чайковского;02.авг
yes;улица Чайковского;02.дек
house;улица Чайковского;17
house;улица Чайковского;19
yes;улица Чайковского;02.июн
house;улица Чайковского;43
yes;улица Чайковского;02.янв
house;улица Чайковского;41
house;улица Чайковского;23
yes;улица Чайковского;11
house;улица Чайковского;27
yes;улица Чайковского;13
house;улица Чайковского;25
house;улица Чайковского;33
yes;улица Чайковского;04.янв
yes;улица Чайковского;04.фев
yes;улица Чайковского;2Б
house;улица Чайковского;8
house;улица Чайковского;26.янв
yes;улица Чайковского;81
detached;улица Чайковского;36/2
detached;улица Чайковского;36/6А
detached;улица Чайковского;36/11
detached;улица Чайковского;38/3
detached;улица Чайковского;36/5
detached;улица Чайковского;38/8
detached;улица Чайковского;36/3
detached;улица Чайковского;38/6
yes;улица Чайковского;36/10А
yes;улица Чайковского;38/2
detached;улица Чайковского;36/15
detached;улица Чайковского;38/13
detached;улица Чайковского;36/14
detached;улица Чайковского;34/7
detached;улица Чайковского;36/9
detached;улица Чайковского;36/7А
detached;улица Чайковского;34/22
detached;улица Чайковского;36/13
detached;улица Чайковского;36/4
yes;улица Чайковского;32/6
detached;улица Чайковского;34/1
detached;улица Чайковского;38/5
detached;улица Чайковского;38/4
yes;улица Чайковского;32/7
detached;улица Чайковского;32/2
detached;улица Чайковского;32/4
detached;улица Чайковского;38/7
yes;улица Чайковского;32/8
detached;улица Чайковского;38/9
house;улица Чайковского;26
yes;улица Чайковского;85
house;улица Чайковского;49
house;улица Чайковского;47
house;улица Чайковского;77
house;улица Чайковского;63
yes;улица Чайковского;79
house;улица Чайковского;51
yes;улица Чайковского;73
house;улица Чайковского;103
house;улица Чайковского;95
house;улица Чайковского;97
house;улица Чайковского;55
house;улица Чайковского;53
yes;улица Чайковского;71
yes;улица Чайковского;67
house;улица Чайковского;10.янв
house;улица Чайковского;22
house;улица Чайковского;89
house;улица Чайковского;91
house;улица Чайковского;24
house;улица Чайковского;18
house;улица Чайковского;16
house;улица Чайковского;105
residential;улица Чайковского;34
residential;улица Чайковского;38
apartments;улица Чайковского;117
yes;улица Чайковского;28
apartments;улица Чайковского;121/1
apartments;улица Чайковского;121
yes;улица Чайковского;111/1
apartments;улица Чайковского;30.янв
apartments;улица Чайковского;117/1
apartments;улица Чайковского;123
apartments;улица Чайковского;115
residential;улица Чайковского;32
apartments;улица Чайковского;119
yes;улица Чайковского;32А
yes;улица Чайковского;12.фев
school;улица Чайковского;30
yes;улица Чайковского;113
residential;улица Чайковского;36
yes;улица Чайковского;32/1
house;улица Чехова;73
yes;улица Чехова;30
house;улица Чехова;34
yes;улица Чехова;45
apartments;улица Чехова;37
house;улица Чехова;53
house;улица Чехова;40
yes;улица Чехова;70/1
construction;улица Чехова;77 стр
apartments;улица Чехова;77
house;улица Чехова;60
house;улица Чехова;48
house;улица Чехова;42
house;улица Чехова;54/1
yes;улица Чехова;35
house;улица Чехова;28
house;улица Чехова;53/2
yes;улица Чехова;43
yes;улица Чехова;46
house;улица Чехова;38
house;улица Чехова;36
house;улица Чехова;22
house;улица Чехова;32
house;улица Чехова;44
house;улица Чехова;50
house;улица Чехова;52
house;улица Чехова;63
yes;улица Чехова;58
house;улица Чехова;54
house;улица Чехова;67
house;улица Чехова;49
house;улица Чехова;47
house;улица Чехова;55
house;улица Чехова;74
house;улица Чехова;57
house;улица Чехова;51
house;улица Чехова;46
house;улица Чехова;75
house;улица Чехова;71
yes;улица Чехова;56
house;улица Чехова;69
house;улица Чехова;65
house;улица Чехова;76
apartments;улица Шевченко;5
apartments;улица Шевченко;5
yes;улица Шевченко;8
apartments;улица Шевченко;2
apartments;улица Шевченко;1
apartments;улица Шевченко;4
apartments;улица Шевченко;6
apartments;улица Шевченко;3А
apartments;улица Шевченко;02.янв
apartments;улица Шевченко;04.янв
apartments;улица Широких-Полянских;1
apartments;улица Широких-Полянских;15
